"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"78","1Z6CHioIn3s","OMG","OMG","Diego Barria","https://yt3.ggpht.com/ytc/AKedOLSG4pEj4zZt2CzqGf5bZeJk-dw_aENnIhUMPDtd=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UChVjZ37xaXLl_9-BrPsvfwA","UChVjZ37xaXLl_9-BrPsvfwA","TRUE","none","0","2021-10-10T03:46:05Z","2021-10-10T03:46:05Z"
"79","1Z6CHioIn3s","<U+D398><U+C774><U+CEE4><U+AC00> <U+B0B4><U+B824><U+C628> <U+C655><U+C88C><U+C5D0> <U+B3C4><U+C804><U+D558><U+B294> <U+C1FC><U+BA54> <U+CD78><U+BE44>...<U+ADF8><U+B9AC><U+ACE0> <U+B2E4><U+C2DC> <U+D55C><U+BC88> <U+B3C4><U+C804><U+D558><U+B294> <U+D398><U+C774><U+CEE4> <U+C774><U+BC88> <U+B864><U+B4DC><U+CEF5><U+C774> <U+ADF8> <U+BAA8><U+B4E0> <U+C0C1><U+C9D5><U+C744> <U+AC16><U+C744> <U+C790><U+B97C> <U+ACA8><U+B8F0> <U+B4EF>...<br><U+D398><U+C774><U+CEE4><U+AC00> <U+C808><U+B300> <U+B864><U+C758> <U+C0C1><U+C9D5><U+C774> <U+B420><U+C9C0>...<U+C1FC><U+BA54><U+B098> <U+CD78><U+BE44><U+AC00> <U+B864><U+C758> <U+C0C1><U+C9D5><U+C774> <U+B418><U+B294> <U+C2DC><U+B300><U+AC00> <U+B420><U+C9C0>...<U+C1FC><U+BA54><U+B124> <U+D300><U+C774> <U+C6CC><U+B099> <U+C88B><U+C544><U+C11C> <U+C720><U+B9AC><U+D55C><U+B370> <U+B610> <U+BAA8><U+B974><U+C796><U+C5B4> <U+B864><U+B4DC><U+CEF5><U+C740>","<U+D398><U+C774><U+CEE4><U+AC00> <U+B0B4><U+B824><U+C628> <U+C655><U+C88C><U+C5D0> <U+B3C4><U+C804><U+D558><U+B294> <U+C1FC><U+BA54> <U+CD78><U+BE44>...<U+ADF8><U+B9AC><U+ACE0> <U+B2E4><U+C2DC> <U+D55C><U+BC88> <U+B3C4><U+C804><U+D558><U+B294> <U+D398><U+C774><U+CEE4> <U+C774><U+BC88> <U+B864><U+B4DC><U+CEF5><U+C774> <U+ADF8> <U+BAA8><U+B4E0> <U+C0C1><U+C9D5><U+C744> <U+AC16><U+C744> <U+C790><U+B97C> <U+ACA8><U+B8F0> <U+B4EF>...
<U+D398><U+C774><U+CEE4><U+AC00> <U+C808><U+B300> <U+B864><U+C758> <U+C0C1><U+C9D5><U+C774> <U+B420><U+C9C0>...<U+C1FC><U+BA54><U+B098> <U+CD78><U+BE44><U+AC00> <U+B864><U+C758> <U+C0C1><U+C9D5><U+C774> <U+B418><U+B294> <U+C2DC><U+B300><U+AC00> <U+B420><U+C9C0>...<U+C1FC><U+BA54><U+B124> <U+D300><U+C774> <U+C6CC><U+B099> <U+C88B><U+C544><U+C11C> <U+C720><U+B9AC><U+D55C><U+B370> <U+B610> <U+BAA8><U+B974><U+C796><U+C5B4> <U+B864><U+B4DC><U+CEF5><U+C740>","Yoon Tube","https://yt3.ggpht.com/ytc/AKedOLShLGtgYhO45Az1E-oKKesBEQ9O3U7w42EJTjVnKvY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC15wIT3Ppd5TGUtiAeUdUSg","UC15wIT3Ppd5TGUtiAeUdUSg","TRUE","none","1","2021-10-10T02:50:43Z","2021-10-10T02:50:43Z"
"80","1Z6CHioIn3s","It&#39;s such a coincidence that I was just wondering if League of Legends is going to realese a Worlds 2021 music video and in a few seconds later it just popped up <U+0001F605>","It's such a coincidence that I was just wondering if League of Legends is going to realese a Worlds 2021 music video and in a few seconds later it just popped up <U+0001F605>","Commander Slayers","https://yt3.ggpht.com/ytc/AKedOLTVTYB-mM1fBcg9KBGgICHnwgEuYcBtAH37iTIL2w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-akjptzH50P1_OWFJmKhiw","UC-akjptzH50P1_OWFJmKhiw","TRUE","none","2","2021-10-10T02:11:09Z","2021-10-10T02:11:09Z"
"81","1Z6CHioIn3s","King&#39;s Avatar: LOL Esports Edition<br>I&#39;d gladly watch it!","King's Avatar: LOL Esports Edition
I'd gladly watch it!","Darker Than Xana","https://yt3.ggpht.com/ytc/AKedOLTHXKij09vdTJhnvKeQbd0jeYQ1fybY2B_6OQOE6g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCLVQXzX2cOVpehZOuLAJWIA","UCLVQXzX2cOVpehZOuLAJWIA","TRUE","none","1","2021-10-10T00:48:53Z","2021-10-10T00:48:53Z"
"82","1Z6CHioIn3s","THE BES MUSIC","THE BES MUSIC","criss kyle","https://yt3.ggpht.com/ytc/AKedOLQj6mlzDtc0R8DI1XudJ1mCDzUdwzcN-XBClw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCCDP3gX8YK080wms3asU3sQ","UCCDP3gX8YK080wms3asU3sQ","TRUE","none","0","2021-10-10T00:44:10Z","2021-10-10T00:44:10Z"
"83","1Z6CHioIn3s","<U+C9C0><U+B9AC><U+B178>..","<U+C9C0><U+B9AC><U+B178>..","72 SB","https://yt3.ggpht.com/ytc/AKedOLRd1hfntZgxzuCm_pUGDJG978H0hX2kbwHI1j8kRw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCc9HpxYXTNQ8HyXv80B4b9g","UCc9HpxYXTNQ8HyXv80B4b9g","TRUE","none","0","2021-10-10T00:02:32Z","2021-10-10T00:02:32Z"
"84","1Z6CHioIn3s","I main Syndra and I&#39;m so excited to see that she appears in the presentation video of a world ! Make more animation of her pleaaaaase !","I main Syndra and I'm so excited to see that she appears in the presentation video of a world ! Make more animation of her pleaaaaase !","Amandine Mouls","https://yt3.ggpht.com/ytc/AKedOLTw5gV1MSkFi0bfuhnQsDQc72td1OtPP742h2r_ZQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UClFSGxql5lSIqWDm4TEdGkA","UClFSGxql5lSIqWDm4TEdGkA","TRUE","none","0","2021-10-09T23:49:04Z","2021-10-09T23:49:04Z"
"85","1Z6CHioIn3s","This songs looks like personal motivation","This songs looks like personal motivation","AL3X1S88","https://yt3.ggpht.com/ytc/AKedOLRdYKi4chvCU33fmV433Yle5OXQDbAk8QDfTL2k=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5NAf75gL5GlY6ycjEZj2DA","UC5NAf75gL5GlY6ycjEZj2DA","TRUE","none","0","2021-10-09T23:44:09Z","2021-10-09T23:44:09Z"
"86","1Z6CHioIn3s","I cant deny that the song is FIRE but how about you focus more into your game riot and balance it , fix its bugs ? Rather open a music industry and produce all songs you want.","I cant deny that the song is FIRE but how about you focus more into your game riot and balance it , fix its bugs ? Rather open a music industry and produce all songs you want.","Doctor Corona","https://yt3.ggpht.com/ytc/AKedOLSnDSQlEjmD_hYnTj_6nYfkGe5d64W-KxdN8uop=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrFP2oVW_jKbkixr0ljkxWg","UCrFP2oVW_jKbkixr0ljkxWg","TRUE","none","0","2021-10-09T23:23:39Z","2021-10-09T23:23:39Z"
"87","1Z6CHioIn3s","<a href=""https://www.youtube.com/watch?v=1Z6CHioIn3s&amp;t=3m19s"">3:19</a> Who&#39;s hand is that. Having a debate and I really needa know ( bottom right)","3:19 Who's hand is that. Having a debate and I really needa know ( bottom right)","RakkyChan","https://yt3.ggpht.com/ytc/AKedOLTMdioXOZRBlLbstdIcIcsACxlGcVz-KUak5-vB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCpwWjSlqNcTH-_qKEwqClrg","UCpwWjSlqNcTH-_qKEwqClrg","TRUE","none","0","2021-10-09T23:23:12Z","2021-10-09T23:23:12Z"
